id,scenario,given,required_outcome,contract_refs
R23,backup에만 데이터 잔존,live removal 완료; WAL/base/replica에 payload 남음,live removed와 archive recoverable 구별; deleted+35d로 destroyed 계산 안함,"RR1.6,RR1.8"
R24,복원된 old DB,old data와 old empty erasure ledger 함께 복원,independent fresh journal 조회 전 ingress/workers/exports 비활성; empty ledger로 건강 판정 안함,RR1.7
R25,확정 삭제 재적용,external batch receipt와 typed scope 존재; 복원 DB에는 row 존재,exact owner replay idempotent; live deadline/policy가 과거여도 이미 확정 삭제 되돌리지 않음,RR1.7
R26,old ledger SQL injection,legacy erased_selector가 임의 SQL/불명 범위,free text 실행 안함; trusted typed mapping 전 affected admission 차단,"RR1.1,RR1.7"
R27,INTENT-only 복구,external intent 있지만 restored receipt 없음,unknown target/dependencies 격리; empty receipt로 cancel/new effect/delete 추정 없음,RR1.7
R28,서명된 오래된 tip,유효 서명이나 independent current head보다 오래된 witness,fresh authoritative head comparison으로 admission 거부; 서명만으로 최신성 인정 안함,"RR1.4,RR1.7"
R29,현재 권한 소실,backup 속 grant/session/assignment가 현 상태보다 오래됨,current authority 검증/재수립 전 admission 안함; old session invalid; 업무 명령 자동 replay 없음,RR1.7
R30,복구 중 tip 갱신,reconcile 도중 독립 journal에 새 committed batch,admission 전 catch-up 또는 fence; 오래된 watermark로 서비스 시작 안함,RR1.7
R31,구 writer 경합,복원 cluster와 예전 worker 동시 활성 시도,old serving generation fence 확인 전 새 writer 실행 불가,RR1.7
R32,백업 pruning 실패,35d 설정 존재하지만 오래된 dependency/version이 남음,inventory는 recoverable로 기록; 설정만으로 비복원 claim 안함; shared WAL surgery 없음,RR1.8
R33,손상 snapshot,보존해야 하는 submitted input hash/source 검증 불일치,해당 evidence 사용/복원 차단; 재해시로 무결성 위장 안함; verified source 또는 loss receipt,RR1.8
R34,키 순환·signer 불가,old signed receipt 검증키 유지; active signer unreachable,기존 검증 가능; 새 external record는 failclosed; in-process self-sign fallback 없음,"RR1.4,RR1.8"
R35,운영 롤백,부분 폐기 이후 feature disable/구버전 deploy 요청,new purge 중단·quarantine/receipt/reapply 유지; pre-delete backup serving 안함,RR1.9
R36,법인별 작업,6개 Company 중 2개 권한만 허용 또는 1개 실패,허용 Company별 job/receipt만; Group GUC/교차삭제 없음; 다른 Company 실패를 전부완료로 안함,RR1.2
R37,취소와 첫 batch 경합,no-effect cancel과 첫 delete batch 동시에,cancel fence 먼저면 delete 무효과; batch 먼저면 CANCELLED publish 금지·partial 경로,RR1.5
R38,내부 취소 fence 후 장애,CANCEL_PENDING commit; 외부 acceptance 전 crash,재시작시 delete 거부; 동일 cancel identity로 journal reconcile; PREPARED 자동 복귀 없음,RR1.5
R39,외부 취소 확인 후 장애,journal CANCELLED commit; local finalize 전 crash 또는 PREPARED backup restore,executor/recovery가 terminal cancel guard 유지/재적용; old INTENT로 삭제 못함; 현재 정책·new epoch 후 허용 접근,"RR1.5,RR1.7"
