key	before	after	refusal
payroll.revise_review_cycle	Review cycle plus actual committed correction receipts affecting listed bases	New cycle revision replaces exact affected bases; old obligations/decisions retained and dependencies invalidated	Forged or uncommitted correction receipt refuses
payroll.cancel_review_cycle	Current active cycle with supplied membership digest/revision	Cycle cancellation recorded once; no payable transition; old basis evidence retained	Stale cycle revision refuses
payroll.supersede_approved_draft	APPROVED nonpayable run with current exact review cycle and correction evidence	SUPERSEDED payable=false; dependent publications marked correction-pending; prior approval retained	Hidden/unrelated affected basis cannot be supplied
governance.execution_gate.request	EDITABLE exact draft/schema/head/epoch; actual gate policy and validity interval	Reserve request identity then seal command; fill binding after fingerprint; no domain execution	Future gate decision/binding digest cannot enter original command identity
governance.execution_gate.decide	Pending exact gate request; independent current decision actor	Append PERMIT for exact request command binding; never autoexecute gated command	SELF or expired policy authority refuses without decision/consumption
payroll.review.release	Approved completion and actual immutable result for historical subject; allowed projection	One NONPAYABLE_REVIEW publication per exact target; slot currentness CURRENT; protected source proof	One forbidden target in<=2000 prevents entire Company release; no partial rows
payroll.review.replace_projection	Current publication predecessor and allowed replacement projection	New immutable projected content; advance exact slot generation; retain predecessor	Stale predecessor slot generation refuses
payroll.review.request	Own historical publication readable via actual Person/Employment binding	One OPEN request with exact item/narrative content and existing configured handler task or typed unassigned exception	Unrelated historical subject is undiscoverable and cannot create request
payroll.review.request_append	Own OPEN request at exact content/control revision	Append one issue revision preserving prior acknowledged items and narrative	Stale issue revision refuses without losing current draft text
payroll.review.request_withdraw	Own current open request and exact content/control revision	WITHDRAWN once, retain submitted content/task causal evidence	Another Account without own-subject authority cannot withdraw
payroll.review.respond	Current handler task/assignment and case issue revision; one exact item	Immutable ANSWERED response; exact issue dispositions; case RESOLVED when all handled	Stale assignment or omitted issue disposition refuses; no invented task
work.transfer.submit	Current task assignment1/control1; nominated eligible other Account; explicit interval	Actual transfer-plan content REQUESTED with exact target selection/responsibility and receipt	Transfer cannot grant recipient authority to execute domain action
work.transfer.execute	Authorized exact transfer plan and current target task assignment/control	One TRANSFERRED target; advance assignment epoch; append old/new responsibility history	Stale assignment/capacity conflict produces no unauthorized assignment
work.transfer.stop	Current active transfer plan	STOPPED for remaining pending targets; completed transfers remain historical facts	Stop cannot undo an already committed transfer by rewriting history
group.operation.create	Actual Group authority and one current member incarnation; exact child run intent	One PREPARING Group operation with immutable selected slot set; no Company domain effect	Different membership incarnation refuses slot admission
group.operation.activate	Prepared exact child attempt per slot; original actor confirms fixed intent	ACTIVE Group dispatch; children retain Company-local commands/receipts; no Group-wide atomicity claim	Missing/changed prepared attempt prevents activation
group.operation.resume	Current paused original operation with unknown/pending child outcomes	Reconcile old child receipts first; resume only unchanged original pending intent	Resume cannot replace failed child intent or duplicate committed child effect
group.operation.stop	Current active Group operation	STOPPED for undispatched children; actual completed/unknown outcomes preserved	Unknown child cannot be reported definitive no effect
calendar.publish	Current verified calendar-paid-time qualification and exact seven weekday plans	Retain immutable SOURCE19 calendar bytes; source24 custody; increment CALENDAR guard	Duplicate weekday or changed derived minutes refuses
calendar.assign	Current Employment and retained calendar covering Sep2026; no overlapping active assignment	Append ACTIVE assignment Sep1..Oct1; advance CALENDAR family guard	Cross-Employment/overlapping active interval refuses
attendance.resolve_coverage	Actual event/day packages and boundary witnesses for requested subject/period	Retain exact BLOCKED coverage with typed incomplete-attendance blockers and source24 custody	Omitted owner-enumerated event or changed package digest refuses
attendance.create_close_basis	Actual operational close plus exhaustive one-member resolved coverage artifact	Immutable close basis with exact member count/digest; no payroll calculation	Missing/extra coverage member refuses
source.propose_qualification	Actual issuer-trust profile and signed synthetic credential evidence; subject distinct from approver	Unverified QUALIFICATION admission retained with source24 command custody	Client status VERIFIED or unknown issuer evidence cannot create verified qualification
source.verify_qualification	Unverified exact qualification admission/digest/head; genuine independent reviewer/issuer chain	Append verification transition and current source guard; admission bytes immutable	Synthetic UUID distinction without actual Human/issuer evidence refuses
source.revoke_qualification	Current verified exact qualification head and authorized actor	Append revocation, advance source guard; dependent current eligibility invalidated	Wrong family/head or stale revision refuses
eligibility.propose	Current exact employment coverage/wage/attendance/profile/qualified source facts	Unverified eligibility admission with four distinct insurance and seven distinct obligation facts	Duplicate scheme/family or subject mismatch refuses before admission
eligibility.verify	Current unverified exact eligibility admission and independent actual qualified reviewer	Append VERIFIED eligibility head; retain original typed facts/custody	Missing referenced legal/source fact cannot be replaced by attest=true
eligibility.revoke	Current verified eligibility head	Append revocation and guard bump; leave historical admission/evidence intact	Wrong Company head refuses
payroll.admit_tax_evidence	Verified table qualification, actual retained artifact, eligibility and exact row selection	Unverified TAX_EVIDENCE admission with zero-valued synthetic table cells and exact locators	Wrong income band/locator/artifact digest refuses; zero never inferred from missing data
payroll.verify_tax_evidence	Unverified tax evidence and independent current qualified reviewer	Append verification bound to exact input/digest/head; retain immutable source24 custody	Unverified table qualification or same-Human reviewer refuses
payroll.revoke_tax_evidence	Current verified exact tax-evidence head	Append revoke transition and TAX_EVIDENCE guard bump; invalidate dependent current source selection	Stale/different family head refuses
draft.start	Current exact action registration/schema/target; Account has editing authority	One EDITABLE Account-custodied draft for exact intent slot; no domain side effect	GET/preflight cannot create draft; existing intent slot cannot fork invisibly
draft.seal	Complete valid current draft with exact head/epoch/schema and applicable current authority	Actual READY attempt and reserved domain command; immutable original normalized input/pins; no domain execution	Incomplete/hidden/oversize input refuses while preserving acknowledged draft
attempt.execute	Actual READY original attempt; current authority and complete source/evidence protections	Original owner executes one exact sealed domain command; returns public reconciliation subject	Wrapper command must not replace original actor/input or publish duplicate OWNER_SUBMISSION
draft.discard	Own EDITABLE draft at exact head/epoch	Discard state recorded; acknowledged history retained according to policy	Discard cannot erase already sealed submission history
draft.upgrade_schema	Own EDITABLE draft; target schema and registered mapping current	Append explicitly mapped new draft revision; retain old schema/content and stable field ids	Unmapped complete field or stale old schema refuses without silent loss
draft.expire	Retention worker with actual current policy and exact control revision; expiry due	Expire allowed editable draft and close editing continuation; retain required evidence/pins	Client-supplied time/policy alone cannot expire held or sealed evidence
source.prepare_submission	Exact source draft/head/schema/editing token with complete source19 input	Actual immutable Preparation24 input unit/digest; no future attempt/command/receipt; source ordinal rules unchanged	A fake prepared_submission_unit or cross-draft input cannot substitute for stored preparation
artifact.request_upload	Current docs upload policy/target authority and literal upload.csv expected bytes/digest	One actual upload ticket with scoped issuer-controlled version target; no VERIFIED attestation yet	Caller-chosen storage capability or oversized body refuses
artifact.verify_version	Actual worker job for exact ticket/unit/location revision and uploaded immutable bytes	Actual attestation for observed bytes/version; preserve immutable location evidence	Ordinary actor or mismatched observed version/digest cannot mark verified
leave.decide	Current leave request and authorized current manager; consultation branch	TIME_CHANGE_CONSULT with Sep15 proposal, retained source witness/receipt, no invented charge approval	Current request revision mismatch or absent consulted authority refuses
