screen,state,applicability,condition,visible,allowed_actions,preservation,focus,proof,contract_refs
V02,SUCCESS,APPLIES,"Mutation receipt confirmed, then server loads CURRENT owner state and recomputes each next action under command-map.when_offered; this candidate set is not blanket post-success execution authority",선택 계산 접수 시 V09; 개별 결과는 owner receipt; next navigation uses screen-map.success destination and currently authorized object link; 실행한 이전 command 반복 버튼 아님; 현재 새 상태의 다음 행동만,REFRESH;NAV_INPUTS;LAUNCH_GROUP_CALC,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,Group launch command/operation receipt,UX1.6;UX1.7;GO1
V03,LOADING,APPLIES,현재 context의 authorized DTO 조회중,법적 Company·고용관계 기본 대상·기존 겹치는 run·기간 기준의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,create command receipt; correlation만으로 성공추정 금지,UX1.6;UX1.4;P02
V03,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,기본 대상0: 생성 가능 owner profile이면0명 staged; 준비완료 아님,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,create command receipt; correlation만으로 성공추정 금지,UX1.6;UX1.4;P02
V03,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,create command receipt; correlation만으로 성공추정 금지,UX1.6;UX1.4;P02
V03,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,법적 Company·고용관계 기본 대상·기존 겹치는 run·기간 기준,DRAFT_SAVE;CREATE_RUN,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,create command receipt; correlation만으로 성공추정 금지,UX1.6;UX1.4;P02
V03,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,필수 기간/범위 누락; typed error 수정,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,create command receipt; correlation만으로 성공추정 금지,UX1.6;UX1.4;P02
V03,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패,허용되지 않은 대상은 집계하지 않음; 정확 승인 범위 필요,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,create command receipt; correlation만으로 성공추정 금지,UX1.6;UX1.4;P02
V03,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜,기존 run/원천/대상 변경; preview 다시 확인,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,create command receipt; correlation만으로 성공추정 금지,UX1.6;UX1.4;P02
V03,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,급여 작업 만들기의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,create command receipt; correlation만으로 성공추정 금지,UX1.6;UX1.4;P02
V03,UNKNOWN,APPLIES,해당 mutation이 실행됐을 수 있으나 commit/receipt 응답 미확정,처리 결과 확인중; create command receipt; correlation만으로 성공추정 금지,RESULT_RECONCILE;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent aria-live status; 새명령실행 없음,create command receipt; correlation만으로 성공추정 금지,UX1.6;UX1.4;P02
V03,SUCCESS,APPLIES,"Mutation receipt confirmed, then server loads CURRENT owner state and recomputes each next action under command-map.when_offered; this candidate set is not blanket post-success execution authority",생성 receipt의 실제 draft_run_id로 V04 이동; next navigation uses screen-map.success destination and currently authorized object link; 실행한 이전 command 반복 버튼 아님; 현재 새 상태의 다음 행동만,REFRESH;DRAFT_SAVE;CREATE_RUN,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,create command receipt; correlation만으로 성공추정 금지,UX1.6;UX1.4;P02
V04,LOADING,APPLIES,현재 context의 authorized DTO 조회중,준비 체크·누락 담당·현재/이전 입력 차이·필수 narrative·적용 기간의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,prepare/verify command receipt 및 owner case truth,UX1.6;UX1.3;PC1;P02;P03
V04,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,대상 없음: 선정/근로관계 owner로; 마감/계산 금지,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,prepare/verify command receipt 및 owner case truth,UX1.6;UX1.3;PC1;P02;P03
V04,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,prepare/verify command receipt 및 owner case truth,UX1.6;UX1.3;PC1;P02;P03
V04,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,준비 체크·누락 담당·현재/이전 입력 차이·필수 narrative·적용 기간,NAV_WAGE;VERIFY_SOURCE;PREPARE_INPUT;DRAFT_SAVE;REVISE_REVIEW_CYCLE,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,prepare/verify command receipt 및 owner case truth,UX1.6;UX1.3;PC1;P02;P03
V04,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,근거 누락: exact source form/case 또는 담당 task; 추정값 금지,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,prepare/verify command receipt 및 owner case truth,UX1.6;UX1.3;PC1;P02;P03
V04,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패; each offered action must satisfy command-map.when_offered on exact visible/independent unit; no incomplete whole-scope effect,PC1 허용 입력 단위만 준비; hidden 필수단위는 별도 적격 task,NAV_WAGE;DRAFT_SAVE;PREPARE_INPUT;REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,prepare/verify command receipt 및 owner case truth,UX1.6;UX1.3;PC1;P02;P03
V04,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜; offer listed recovery only when its exact command-map.when_offered holds; no override of unknown/disclosure denial,새 원 사실/verification/roster 버전; old snapshot 실행 금지,REFRESH;RECOVERY_ROUTE;REVISE_REVIEW_CYCLE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,prepare/verify command receipt 및 owner case truth,UX1.6;UX1.3;PC1;P02;P03
V04,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,대상·입력·근거의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,prepare/verify command receipt 및 owner case truth,UX1.6;UX1.3;PC1;P02;P03
V04,UNKNOWN,APPLIES,해당 mutation이 실행됐을 수 있으나 commit/receipt 응답 미확정,처리 결과 확인중; prepare/verify command receipt 및 owner case truth,RESULT_RECONCILE;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent aria-live status; 새명령실행 없음,prepare/verify command receipt 및 owner case truth,UX1.6;UX1.3;PC1;P02;P03
V04,SUCCESS,APPLIES,"Mutation receipt confirmed, then server loads CURRENT owner state and recomputes each next action under command-map.when_offered; this candidate set is not blanket post-success execution authority",새 input revision receipt; V06 close review; next navigation uses screen-map.success destination and currently authorized object link; 실행한 이전 command 반복 버튼 아님; 현재 새 상태의 다음 행동만,REFRESH;NAV_WAGE;VERIFY_SOURCE;PREPARE_INPUT;DRAFT_SAVE;REVISE_REVIEW_CYCLE,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,prepare/verify command receipt 및 owner case truth,UX1.6;UX1.3;PC1;P02;P03
V05,LOADING,APPLIES,현재 context의 authorized DTO 조회중,현재 계약값·효력일·정정 대상 revision·영향 기간; 저장가능과 계산지원 구분의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,exact wage command receipt; timeout blind POST 금지,UX1.6;UX1.4;FD1;P01;G08
V05,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,현재 계약급여 없음: 권한 있는 생성 입력;0원 자동값 없음,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,exact wage command receipt; timeout blind POST 금지,UX1.6;UX1.4;FD1;P01;G08
V05,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,exact wage command receipt; timeout blind POST 금지,UX1.6;UX1.4;FD1;P01;G08
V05,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,현재 계약값·효력일·정정 대상 revision·영향 기간; 저장가능과 계산지원 구분,DRAFT_SAVE;SAVE_WAGE;OPEN_HISTORY,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,exact wage command receipt; timeout blind POST 금지,UX1.6;UX1.4;FD1;P01;G08
V05,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,필수 amount/date/evidence 부족 또는 지원되지 않는 profile; 정확 owner exception,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,exact wage command receipt; timeout blind POST 금지,UX1.6;UX1.4;FD1;P01;G08
V05,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패; each offered action must satisfy command-map.when_offered on exact visible/independent unit; no incomplete whole-scope effect,숨긴 salary field 편집/역산 금지; 담당 작업을 적격자로 연결,DRAFT_SAVE;REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,exact wage command receipt; timeout blind POST 금지,UX1.6;UX1.4;FD1;P01;G08
V05,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜,같은 효력일/correction revision 충돌; 허용diff와 새CAS 검토,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,exact wage command receipt; timeout blind POST 금지,UX1.6;UX1.4;FD1;P01;G08
V05,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,계약급여 입력·정정의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,exact wage command receipt; timeout blind POST 금지,UX1.6;UX1.4;FD1;P01;G08
V05,UNKNOWN,APPLIES,해당 mutation이 실행됐을 수 있으나 commit/receipt 응답 미확정,처리 결과 확인중; exact wage command receipt; timeout blind POST 금지,RESULT_RECONCILE;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent aria-live status; 새명령실행 없음,exact wage command receipt; timeout blind POST 금지,UX1.6;UX1.4;FD1;P01;G08
V05,SUCCESS,APPLIES,"Mutation receipt confirmed, then server loads CURRENT owner state and recomputes each next action under command-map.when_offered; this candidate set is not blanket post-success execution authority",wage fact readback 후 호출 V04로 복귀; 재준비 안내; next navigation uses screen-map.success destination and currently authorized object link; 실행한 이전 command 반복 버튼 아님; 현재 새 상태의 다음 행동만,REFRESH;DRAFT_SAVE;SAVE_WAGE;OPEN_HISTORY,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,exact wage command receipt; timeout blind POST 금지,UX1.6;UX1.4;FD1;P01;G08
V06,LOADING,APPLIES,현재 context의 authorized DTO 조회중,대상·근태/휴가 미결·기간 lock·필수 차단과 경고 분리의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,close command receipt/owner state,UX1.6;UX1.4;P04
V06,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,대상0이면 마감 불가; V04 대상 보완,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,close command receipt/owner state,UX1.6;UX1.4;P04
V06,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,close command receipt/owner state,UX1.6;UX1.4;P04
V06,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,대상·근태/휴가 미결·기간 lock·필수 차단과 경고 분리,CLOSE_ATTENDANCE;NAV_INPUTS,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,close command receipt/owner state,UX1.6;UX1.4;P04
V06,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,attest 미확인 또는 필수자료 부족; 현재 근거 확인,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,close command receipt/owner state,UX1.6;UX1.4;P04
V06,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패,본인 결정 필수 evidence 전체권한 없으면 실행불가; scoped work별 진행,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,close command receipt/owner state,UX1.6;UX1.4;P04
V06,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜,preflight 이후 source/period 변화; current 검토부터,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,close command receipt/owner state,UX1.6;UX1.4;P04
V06,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,근태 마감 검토의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,close command receipt/owner state,UX1.6;UX1.4;P04
V06,UNKNOWN,APPLIES,해당 mutation이 실행됐을 수 있으나 commit/receipt 응답 미확정,처리 결과 확인중; close command receipt/owner state,RESULT_RECONCILE;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent aria-live status; 새명령실행 없음,close command receipt/owner state,UX1.6;UX1.4;P04
V06,SUCCESS,APPLIES,"Mutation receipt confirmed, then server loads CURRENT owner state and recomputes each next action under command-map.when_offered; this candidate set is not blanket post-success execution authority",마감 receipt로 V07; 승인/법률 적합/휴가 허용 뜻 아님; next navigation uses screen-map.success destination and currently authorized object link; 실행한 이전 command 반복 버튼 아님; 현재 새 상태의 다음 행동만,REFRESH;CLOSE_ATTENDANCE;NAV_INPUTS,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,close command receipt/owner state,UX1.6;UX1.4;P04
V07,LOADING,APPLIES,현재 context의 authorized DTO 조회중,저장 version·차단 행·근거·허용 전후차이·현재성; payable=false의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,calculate/submit/correction command 및 immutable receipt,UX1.6;UX1.7;AC1;PC1
V07,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty; offer listed recovery only when its exact command-map.when_offered holds; no override of unknown/disclosure denial,계산결과 없음: 준비/마감 후 실제 계산;0원 명세 아님,RECOVERY_ROUTE;REFRESH;CALCULATE,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,calculate/submit/correction command 및 immutable receipt,UX1.6;UX1.7;AC1;PC1
V07,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,calculate/submit/correction command 및 immutable receipt,UX1.6;UX1.7;AC1;PC1
V07,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,저장 version·차단 행·근거·허용 전후차이·현재성; payable=false,CALCULATE;OPEN_REVIEW_CYCLE;SUBMIT_REVIEW;NAV_INPUTS;CORRECT_APPROVED;OPEN_RELEASE;REVISE_REVIEW_CYCLE,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,calculate/submit/correction command 및 immutable receipt,UX1.6;UX1.7;AC1;PC1
V07,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,미계산/차단 단위는 원 입력 task 보완; 총액 미확정,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,calculate/submit/correction command 및 immutable receipt,UX1.6;UX1.7;AC1;PC1
V07,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패; each offered action must satisfy command-map.when_offered on exact visible/independent unit; no incomplete whole-scope effect,허용 행과 부분coverage만; hidden/net 총액 추정없음,NAV_INPUTS;SUBMIT_REVIEW;REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,calculate/submit/correction command 및 immutable receipt,UX1.6;UX1.7;AC1;PC1
V07,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜; offer listed recovery only when its exact command-map.when_offered holds; no override of unknown/disclosure denial,old result는 역사; 새 source 준비/재마감/재계산 필요,REFRESH;RECOVERY_ROUTE;CORRECT_APPROVED;REVISE_REVIEW_CYCLE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,calculate/submit/correction command 및 immutable receipt,UX1.6;UX1.7;AC1;PC1
V07,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,계산 결과·차이의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,calculate/submit/correction command 및 immutable receipt,UX1.6;UX1.7;AC1;PC1
V07,UNKNOWN,APPLIES,해당 mutation이 실행됐을 수 있으나 commit/receipt 응답 미확정,처리 결과 확인중; calculate/submit/correction command 및 immutable receipt,RESULT_RECONCILE;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent aria-live status; 새명령실행 없음,calculate/submit/correction command 및 immutable receipt,UX1.6;UX1.7;AC1;PC1
V07,SUCCESS,APPLIES,"Mutation receipt confirmed, then server loads CURRENT owner state and recomputes each next action under command-map.when_offered; this candidate set is not blanket post-success execution authority",정확 계산/검토요청/정정 receipt에 따른 다음 상태; next navigation uses screen-map.success destination and currently authorized object link; 실행한 이전 command 반복 버튼 아님; 현재 새 상태의 다음 행동만,REFRESH;CALCULATE;OPEN_REVIEW_CYCLE;SUBMIT_REVIEW;NAV_INPUTS;CORRECT_APPROVED;OPEN_RELEASE;REVISE_REVIEW_CYCLE,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,calculate/submit/correction command 및 immutable receipt,UX1.6;UX1.7;AC1;PC1
V08,LOADING,APPLIES,현재 context의 authorized DTO 조회중,정확 범위·원 제출자·source/계산·차이·필수 이슈·현재 허용 상태의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,decision command/coverage receipt; gate permit≠decision,UX1.6;UX1.7;AC1;PC1
