table,column,target,source,constraint
workflow_definition_versions,created_by,ACCOUNT,backend/crates/platform/db/migrations/0069_create_workflow_studio.sql,preserve historical nullable actors;no cascade
person_revisions,actor_id,COMPANY_ACTOR,backend/crates/platform/db/migrations/0213_create_canonical_person_tables.sql,preserve historical nullable actors;no cascade
person_source_bindings,actor_id,COMPANY_ACTOR,backend/crates/platform/db/migrations/0213_create_canonical_person_tables.sql,preserve historical nullable actors;no cascade
employment_revisions,actor_id,COMPANY_ACTOR,backend/crates/platform/db/migrations/0214_create_canonical_employment_tables.sql,preserve historical nullable actors;no cascade
employment_source_bindings,actor_id,COMPANY_ACTOR,backend/crates/platform/db/migrations/0214_create_canonical_employment_tables.sql,preserve historical nullable actors;no cascade
auth_webauthn_credentials,user_id,ACCOUNT,backend/crates/platform/db/migrations/0034_enforce_org_id_rollout.sql,remove global+mandatoryCompany credential ownership;preserve bytes/revocations/token-family correlation;actual catalog check required
auth_webauthn_ceremonies,user_id,ACCOUNT,backend/crates/platform/db/migrations/0034_enforce_org_id_rollout.sql,remove global+mandatoryCompany credential ownership;preserve bytes/revocations/token-family correlation;actual catalog check required
auth_refresh_token_families,user_id,ACCOUNT,backend/crates/platform/db/migrations/0034_enforce_org_id_rollout.sql,remove global+mandatoryCompany credential ownership;preserve bytes/revocations/token-family correlation;actual catalog check required
auth_refresh_tokens,user_id,ACCOUNT,backend/crates/platform/db/migrations/0034_enforce_org_id_rollout.sql,remove global+mandatoryCompany credential ownership;preserve bytes/revocations/token-family correlation;actual catalog check required
auth_bootstrap_credentials,user_id,ACCOUNT,backend/crates/platform/db/migrations/0034_enforce_org_id_rollout.sql,remove global+mandatoryCompany credential ownership;preserve bytes/revocations/token-family correlation;actual catalog check required
