id,family,phase,accountable_owning_layer,intended_acceptance_outcome,preservation_obligation,later_adoption_classification,invalidation_trigger,dependencies,authority_and_design_refs,evidence_status
CF-F11,"Security, governance, platform administration, observability and product delivery",FIRST_SLICE_FOUNDATION_AND_RECOVERY; enterprise breadth later,"Platform auth/authz, Account/Group, DB/runtime and delivery owners; canonical domain control owners","Selected policy and control changes are attributable/current; diagnostic, recovery, migration and release evidence accurately describe actual effects and exposure limits.",Resource/field/action and policy-administration authority; Company isolation; versioned dependency/contract manifests; protected telemetry and effect histories; software rollback distinct from data restoration.,MIGRATION_IF_TRIGGERED,"Scope/authority encoding changes, mixed-version reads reinterpret history, telemetry discloses hidden data, deployment requires irreversible conversion or new exposure.",CF-C01; CF-C02; CF-F03,docs/current/PRODUCT.md:17; docs/current/PRODUCT.md:32; docs/current/PRODUCT.md:37; docs/current/PRODUCT.md:52; docs/current/ROADMAP.md:15; docs/current/DELIVERY.md:7; docs/current/DELIVERY.md:25,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-C01,Persistent Account and internal/applicant/former-worker/partner identity,FIRST_SLICE_DEPENDENCY; broader experiences later,Platform Account/auth/context owners; policy-scoped CompanyActor attribution owners,"Account identity persists independently of Employment; separate security suspension, recovery and session-revocation controls remain effective. Current policy controls login eligibility, contexts, own historical records and actions without job-title role classes.","Stable Account and attributed actor IDs, separate employment lifecycle, original Company-bound drafts, temporal grants and policy-derived discovery.",MIGRATION_IF_TRIGGERED,"Login identity is deleted/recreated on employment change, one Account silently changes legal actor or current context retargets a saved intent.",CF-F11,docs/current/PRODUCT.md:17; docs/current/PRODUCT.md:27; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:5; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:10,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-C02,"Company, Group, OrgUnit, Person, Employment and organization topology",FIRST_SLICE_DEPENDENCY; broader organization work later,Existing Company/organization/HR canonical owners; separately scoped Group topology owner,"Company-scoped work and authorized Group observations preserve legal/employment identity, topology and single-writer boundaries.",Group tenant versus Company legal/RLS cell; Company-local OrgUnits; immutable historical Employment; N× scoped reads and one-Company writes.,MIGRATION_IF_TRIGGERED,"Cross-company shared office becomes a shared OrgUnit, Group arms app.current_org, or a later topology change rewrites historical legal ownership.",CF-C01; CF-F02; CF-F11,docs/current/PRODUCT.md:15; docs/current/PRODUCT.md:17; docs/current/PRODUCT.md:19; docs/current/PRODUCT.md:21; docs/current/PRODUCT.md:46,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-C03,"Recruiting and HR employment lifecycle: appointment, promotion, transfer, departure",LATER_CAPABILITY; selected existing facts and continuity dependencies now,Existing people/HR application and canonical assignment owners with governance decisions,"Each admitted lifecycle story has real input, distinct authorized decision, canonical employment effect, downstream consequences and correction/history acceptance.",Person creation distinct from hr.appoint; exact effective intervals and employment identity; persistent Account; no blanket lifecycle shipping from existing code.,ADDITIVE_CONDITIONAL,"Later HR change requires retroactive replacement of Person/Employment identity, drops historical payroll links or conflates directory create with appointment approval.",CF-C01; CF-C02; CF-F03; CF-F05,docs/current/PRODUCT.md:10; docs/current/PRODUCT.md:11; docs/current/PRODUCT.md:27; docs/current/PRODUCT.md:33; docs/current/ROADMAP.md:52,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-C04,"Attendance, calendars, coverage and close/source lifecycle",FIRST_SLICE_BOUNDED_SOURCE_DEPENDENCY; full attendance stories later,Existing attendance/payroll source application and adapter owners,"Supported native payroll receives exact calendars, assignments, coverage, close facts and source revisions; stale/incomplete sources route accountable repair.","Versioned source facts, exact periods, stable Employment links, qualification/provenance and owner-bound close/reopen behavior.",ADDITIVE_CONDITIONAL,"New attendance story alters prior period/coverage meaning, needs source facts never retained, or bypasses close/freeze semantics.",CF-C02; CF-F03; CF-F04; CF-C12,docs/current/PRODUCT.md:27; docs/current/PRODUCT.md:65; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:6; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:7; docs/current/ROADMAP.md:52,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-C05,Labor and jurisdiction-dependent employment workflows,LATER_CAPABILITY_AND_QUALIFIED_AUTHORITY_HOLD,Relevant existing HR/labor/payroll domain owner; qualified rule authority remains separately identified at later admission,"Each supported labor story distinguishes verified rule, versioned evidence, assumption and unsupported circumstance, with correction and required authority.",Store evidence edition/locator/narrative separately from legal conclusions; preserve exact time/jurisdiction/profile applicability; no guessed statutory rules.,UNKNOWN,"A required rule lacks authoritative confirmation, source applicability changes or new retention/processing obligations conflict with immutable evidence treatment.",CF-C03; CF-C04; CF-F05; CF-C12,docs/current/PRODUCT.md:27; docs/current/PRODUCT.md:37; docs/current/PRODUCT.md:53; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:7; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:8; docs/current/ROADMAP.md:52,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-C06,"Native nonpayable payroll input, calculation and human review",FIRST_SLICE_VERTICAL; full payroll story inventory later,Existing payroll application/domain/adapters and current registered source/workflow participants,One admitted supported numeric journey reaches an approved nonpayable result with complete source and human coverage; exceptional required cases stay visibly incomplete.,Exact monetary units/rounding/profile; immutable source and calculation commitments; current evidence; natural-person independence; no partial hidden-population completion.,ADDITIVE_CONDITIONAL,"New profile changes old calculation interpretation, requires guessed inputs or drops unsupported selected employees to claim completion.",CF-C01; CF-C02; CF-C04; CF-F03; CF-F04; CF-F05; CF-C12,docs/current/PRODUCT.md:12; docs/current/PRODUCT.md:27; docs/current/PRODUCT.md:63; docs/current/ROADMAP.md:50; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:7; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:9,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-C07,"Own historical publication, inquiries and correction continuity",FIRST_SLICE_VERTICAL,"Existing payroll review/publication owners, common content/custody owner and workflow follow-up participant",Current and former workers access permitted immutable NONPAYABLE_REVIEW publication and submit/track issue coverage through an actual corrected publication.,Published amounts distinct from current correction status; historical own policy; issue/item identity; pending work distinct from corrected outcome; no future receipt required to request work.,ADDITIVE_CONDITIONAL,"Later case process repurposes original issue/content IDs, exposes internal task custody or marks corrected without a covering publication.",CF-C01; CF-C06; CF-F05; CF-C12,docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:10; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:19; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:21; docs/evidence/console/design/2026-09-13-integrated-design-30/follow-up-work-contract.txt:5; docs/evidence/console/design/2026-09-13-integrated-design-30/follow-up-work-contract.txt:7; docs/evidence/console/design/2026-09-13-integrated-design-30/follow-up-work-contract.txt:25,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-C08,Native messenger and business conversations,LATER_CAPABILITY,Future communication application owner using existing Account/object/policy contracts,"Admitted conversation tasks support authorized participants, object links, message lifecycle and truthful delivery/recovery in a persistent surface.","Account-based authorship, policy-bound linked objects/audiences, stable content/message IDs and navigation independent of payroll details.",UNKNOWN,"Retention, conversation membership or per-message access cannot be represented by chosen shared content/policy contracts.",CF-F08; CF-C01; CF-F11,docs/current/PRODUCT.md:27; docs/current/ROADMAP.md:52; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:13,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-C09,Native mail,LATER_CAPABILITY,Future mail application/integration owner using existing Account/object/policy contracts,"Admitted mail tasks preserve correspondence identity, authorized attachments/object links and distinguish queued/sent/failed/unknown delivery.","Separate external delivery effects from business receipts, stable correspondence/content references and current attachment/audience policy.",UNKNOWN,"External provider identity, delivery reconciliation, retention or transport requirements conflict with shared custody assumptions.",CF-F08; CF-C01; CF-F11,docs/current/PRODUCT.md:27; docs/current/ROADMAP.md:52; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:13,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-C10,Native calendar and shared scheduling,LATER_CAPABILITY; payroll work calendars remain CF-C04,Future calendar application owner using existing Account/object/policy contracts,"Admitted scheduling tasks express participants, time zones, updates, cancellations and policy-bound relationships without becoming payroll source authority implicitly.","Distinguish business attendance calendar facts from communications scheduling; stable event/occurrence identity, effective time and participant policy.",UNKNOWN,Recurring-event identity/time semantics or scheduling ownership require reinterpreting persisted attendance/workflow facts.,CF-F08; CF-C01; CF-C02; CF-F05,docs/current/PRODUCT.md:27; docs/current/ROADMAP.md:52; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:13,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-C11,Approved external sharing and applicant/partner experiences,LATER_CAPABILITY; historical former-worker own access remains CF-C07,Existing Account/authz boundaries and future sharing application owner; each domain retains canonical owner,"At later admission, an external principal accesses only intended resources/fields/actions for a defined duration with revocation and attribution evidence.","No hardcoded external/internal job-title class; persistent Account, exact policy context, revocable links and owned resources; no blanket employee-required model.",UNKNOWN,"Sharing requires bearer-link authority, new identity federation, retention/disclosure rules or cross-tenant writes outside current contracts.",CF-C01; CF-F02; CF-F03; CF-F11; CF-C12,docs/current/PRODUCT.md:27; docs/current/PRODUCT.md:32; docs/current/PRODUCT.md:52; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:10,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
CF-C12,"Internal evidence custody, storage and later 자료실/document management",FIRST_SLICE_INTERNAL_DEPENDENCY; standalone storage/ingest later,Existing common evidence/custody and domain source owners; later storage application owner identified at its admission,First slice retains and retrieves exact required originals under current policy through review/correction/recovery; later file product has its own acceptance.,"Immutable evidence references, provenance, retention/pins and governed release; no duplicate mutable payload store; no first-slice import/export data-entry substitute.",MIGRATION_IF_TRIGGERED,"Later storage deduplicates away required originals, changes address/hash meaning, introduces cross-Company payload access or deletes still-needed evidence.",CF-F02; CF-F04; CF-F11,docs/current/PRODUCT.md:27; docs/current/PRODUCT.md:50; docs/evidence/console/design/2026-09-13-integrated-design-30/screen-integration.txt:7; docs/evidence/console/design/2026-09-13-integrated-design-30/follow-up-work-contract.txt:24,AUTHORED_FAMILY_PRESERVATION_PROPOSAL_NOT_IMPLEMENTATION_OR_ACCEPTANCE_EVIDENCE
